timestamp,account_number,type,account_type,amount,old_balance,new_balance,recipient_account
2025-10-12T21:11:19,54698330,DEPOSIT,S,250000.00,0.00,250000.00,N/A
2025-10-12T21:11:36,54698330,TRANSFER_OUT,C,20000.00,350000.00,330000.00,10000002
2025-10-12T21:11:36,10000002,TRANSFER_IN,C,20000.00,25000.00,45000.00,54698330
2025-10-12T21:46:47,86259807,DEPOSIT,S,543000.32,0.00,543000.32,N/A
2025-10-12T21:47:10,86259807,DEPOSIT,C,10000.00,400000.00,410000.00,N/A
2025-10-12T21:59:18,86259807,TRANSFER_OUT,S,10.00,543000.32,542990.32,10000002
2025-10-12T21:59:18,10000002,TRANSFER_IN,C,10.00,45000.00,45010.00,86259807
2025-10-12T22:11:57,86259807,TRANSFER_OUT,S,10.00,542990.32,542980.32,10000002
2025-10-12T22:11:57,10000002,TRANSFER_IN,C,10.00,45010.00,45020.00,86259807
2025-10-16T18:19:44,54698330,WITHDRAWAL,C,330000.00,330000.00,0.00,N/A
2025-10-17T14:37:57,54698330,DEPOSIT,C,300000.00,0.00,300000.00,N/A
2025-10-18T18:07:05,54698330,TRANSFER_OUT,C,54.00,300000.00,299946.00,10000002
2025-10-18T18:07:05,10000002,TRANSFER_IN,C,54.00,45020.00,45074.00,54698330
